PC1,PC2,PC3
0.1807182683,-0.3058222041,-1.51132308
-1.673737617,0.9175479467,-1.914434884
1.609311669,-0.5906267358,-0.5344929063
2.144227618,-0.007175785009,-1.930150508
-1.473765539,0.08577721986,-1.918804235
-1.986465001,-0.2117207872,-0.880533899
0.2783279296,0.1417827075,-1.518544178
-0.7490144155,-1.053072706,-1.248469623
-0.9526638081,-0.6789118505,-1.994204565
-0.539572411,1.843797192,-0.3799947494
1.361451979,0.4148701079,-0.5267182006
-1.54245427,-0.7435580686,-1.680377237
0.6537624616,0.2671061033,-0.6309276307
0.8233151148,-0.54980029,-1.080563273
0.4296264133,-0.6585525494,-0.6141286448
-1.343554188,0.3971898639,-1.179023544
-2.621754647,-0.6446949987,-1.041013152
-1.684716079,-2.530225794,-0.8300137285
1.079288941,0.08472652512,-1.161277306
1.044224258,-2.342292733,-1.158982804
1.131817858,-0.3687889395,-1.680371975
-0.5597956178,-1.833205239,-1.848946429
-0.8028111643,1.789846032,-1.238838598
0.8557780881,-0.04160528669,-0.5582856963
1.702542975,-0.8560562451,-0.9211644004
-2.949446895,-1.205808961,-0.7172380847
-1.734737371,-0.91574864,-1.003009068
-0.6367520109,-2.059776353,-2.349668307
-0.3480519712,-1.87710145,-1.07993209
-0.5434395787,-1.850965384,-1.352587086
1.46560892,-1.261897207,-1.747433885
0.1102229758,-0.1852940501,-0.786465025
0.1716998396,1.845288474,-1.454224254
-1.260665417,-1.3374872,-0.4162660501
0.4891760514,-2.533724848,-0.6877207294
0.7445457656,-1.497147508,-1.814602493
-0.3249485231,-1.418881299,-0.3732881622
-0.8739232201,-2.294223733,-1.462277761
-2.225841269,0.1173379243,-1.99863438
-0.5623668213,-0.7548599026,-1.408660391
-1.072973742,0.525019138,-1.27126739
0.6513336534,0.03490571934,-1.519709501
-0.5373805429,-3.162320313,-0.2888955063
-0.2737657148,0.364208263,0.1699037249
-0.8852480468,0.1879155449,-0.9816264095
1.160164189,-1.7363795,-0.1195727404
0.0249387856,0.9062473521,-0.153703802
-0.7579869846,-0.764549045,-1.892209708
0.315996973,-0.523370048,-0.650730346
1.041990783,1.401796461,-0.9834099644
-1.385429928,-1.511732604,-0.959817539
1.040128352,2.17114349,-1.8175836
-1.07145022,-0.9649629478,-0.5141096216
1.910990787,-1.510619686,-1.285131903
-0.4330588729,0.4319085684,-0.479063744
1.746205084,1.526551704,-2.174167519
0.2572660175,0.5643194387,-1.840536852
-0.532815401,-0.6587539447,-1.337024467
0.2934572712,-0.375193472,0.220875766
0.04099849194,-1.839492508,-0.5356604392
-1.294661189,0.451819436,-1.349838214
-0.3706433523,-0.1578845328,-1.468059141
-0.9374444834,-0.1534409867,-0.5464412367
-0.4668790213,-1.201783037,-0.4823332554
1.548628119,0.2299883571,-1.093799757
-0.3179545188,1.146960958,-0.03839653036
0.7658622401,-0.4290438039,-2.118580628
-0.9775383341,-0.7854148719,-0.9980342608
2.22116527,1.612369586,-1.736995785
1.984476332,-2.267869526,-0.505010909
-0.4559887416,-0.6052251586,-2.15962175
-0.1211060374,0.2067602198,-0.8978845122
-0.1679896728,0.630458347,-2.332395027
-0.9326424821,-1.383552955,0.01592377888
0.1379205784,-0.2659581024,-1.913465411
-0.4924351895,-1.055494339,-1.448069685
0.2445333551,-1.567732885,-1.268961799
-2.577467667,-0.279229085,-0.7122259707
-0.6712525483,1.11733094,-1.486559012
0.3268301145,-2.143338692,-1.499511957
-0.2944284834,-2.587024066,-0.9839027536
0.9720806457,-0.0902372202,-0.6336827219
-0.02144360025,0.3476913153,-2.491019722
-0.5399844539,-0.7469886186,-2.014631294
0.4443354352,0.5074107751,-1.676928928
-1.241265603,-0.3025520271,-0.9603315534
-2.505825239,-0.4191634338,-1.326990678
-1.323482935,-0.4133082954,-1.839469905
1.993102061,-2.388407672,-0.5739724924
-0.6816323707,0.6067386116,-2.373382102
1.788107616,0.1181845185,-0.4787988845
-0.8655258689,-0.6310951769,-1.075690449
1.193248163,0.269924985,-1.668639337
-0.3300128982,1.150479781,-1.256763286
1.777119067,0.7483258728,-1.595914335
-0.3173728555,0.1120184278,-2.213010752
-0.4054771779,-1.152498083,-1.541308417
1.993649122,0.6671421326,-0.637515621
-0.4586947157,-0.3596561443,-0.00728633675
0.8169360011,1.12571608,-1.571289558
1.071809038,-0.5979162355,-0.1334345837
0.7401741638,-0.5916165177,-0.01944182992
-0.6880643506,-0.3638079831,-0.5163957058
0.3293467561,0.8293539194,-0.5382824052
0.7328112555,0.1757679636,-0.2450582617
0.5498496533,-1.780266267,-0.8633783225
0.8966960504,-1.378849914,-0.4340174976
1.489896385,-1.169708733,-0.5588159296
-2.761621564,1.734659161,-1.908450378
-0.283293648,0.5244053742,-2.440747666
0.4230728114,-0.02312515238,-1.855009801
0.4608533071,-0.9242230684,-1.789764848
0.2231910637,-1.243601286,-0.1479046111
1.241522805,0.3106202575,-0.05025650673
-0.7482646719,-1.412687581,-0.7401394114
-0.3863105252,-1.575131534,-1.696674016
0.3597660629,-0.9282074425,-0.7600206869
2.166051763,-1.291825593,-0.2873668139
1.688859773,-0.9642917933,-1.576816278
0.3813591328,1.398443516,-2.695152516
-1.305111903,-0.5539971698,-0.3520083946
0.4616607986,0.9822297249,-2.381736944
-1.433464101,0.7312123529,-2.115189592
1.689741961,0.1800893614,-2.015322442
-0.61148202,-0.2653725709,-0.4306263573
-0.6403990309,-0.9547644595,-0.8228799465
1.495542426,0.04615366387,-0.4712041242
-1.973442893,-0.7249355981,-2.425284798
-1.610676458,0.125728592,-0.1054908263
0.9459836566,-1.409464904,-1.112099642
0.4884275098,-2.066230547,-1.053657439
0.09928903436,1.43045272,-2.365090647
1.521672115,-0.1044962624,-0.4469726271
-0.1086110972,-0.6190546791,0.8923579803
-0.9680401737,-0.8932079789,0.9516194503
-0.4818939459,-0.2578276342,-1.790035344
1.515278987,-1.177626796,-0.1832482384
-0.398601906,-0.4835924419,-1.348925231
0.3562960494,-0.4729295713,-1.65873526
0.7425292939,-1.190193684,-1.348940917
-0.7748609574,-0.9981820661,-0.3462911002
-0.4864422988,-0.3705337142,0.02927050188
-0.2911006228,-1.607517308,-0.6682881662
-0.07424282296,-1.925106816,-0.4382280143
1.695381611,0.5366364577,-1.930820634
-1.526411666,-0.1791869578,-0.818340472
0.7615512182,0.4801262054,-2.12571385
-0.262240919,-0.9935478897,-2.000490099
-0.5243038164,-0.4109752264,-0.6768955106
-1.216818764,-0.3820217108,-0.6070445502
0.4320805426,-0.513328694,-1.021268866
-0.8250678557,0.192598296,-1.700865333
1.33351863,-0.2725688926,-0.2682799548
0.07662154832,-1.803439776,-0.7678771
-0.8553567287,-0.5945526261,-1.611356344
-0.614125504,0.3997556791,-0.6070148685
-0.1919194445,-1.480312221,-2.171917701
-0.6836165386,0.3137895578,-0.4041881991
-0.1011934536,0.03807270333,-0.6100181583
0.9878494106,-1.679594719,0.2383368817
